latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
52.53938,140.22397,377.56,1.26,1.11,2023/6/9,107,T,100,6.1NRT,301.67,193.47,D
52.53751,140.24245,346.02,1.25,1.11,2023/6/9,107,T,94,6.1NRT,300.84,67.86,D
52.53926,140.21809,358.25,1.26,1.11,2023/6/9,107,T,99,6.1NRT,299.83,105.61,D
52.53733,140.23645,363.06,1.25,1.11,2023/6/9,107,T,100,6.1NRT,302.69,124.1,D
52.53543,140.25456,322.74,1.25,1.11,2023/6/9,107,T,80,6.1NRT,297.69,19.91,D
52.52934,140.21619,326.91,1.26,1.11,2023/6/9,107,T,72,6.1NRT,298.15,25.45,D
52.52744,140.23439,351.82,1.25,1.11,2023/6/9,107,T,96,6.1NRT,299.74,83.24,D
52.52556,140.25235,321.12,1.25,1.11,2023/6/9,107,T,78,6.1NRT,298.28,16.87,D
52.5918,136.07324,303.49,1.91,1.35,2023/6/9,107,T,54,6.1NRT,285.78,10.44,D
-11.34658,132.28389,312.96,1.4,1.17,2023/6/9,124,T,50,6.1NRT,297.69,8.03,D
-11.36245,132.24361,335.5,1.39,1.17,2023/6/9,124,T,76,6.1NRT,297.09,48.67,D
-11.36411,132.25612,327.71,1.4,1.17,2023/6/9,124,T,81,6.1NRT,297.2,30.88,D
-11.80093,133.78239,311.33,1.83,1.32,2023/6/9,124,T,49,6.1NRT,296.79,12.33,D
-11.73263,130.16846,332.44,1.08,1.04,2023/6/9,124,T,85,6.1NRT,298.93,29.47,D
-11.734,130.17825,324.79,1.09,1.04,2023/6/9,124,T,78,6.1NRT,298.51,18.3,D
-12.33926,132.44933,318.48,1.48,1.2,2023/6/9,124,T,66,6.1NRT,300.26,14.31,D
-12.26524,131.14629,331.33,1.22,1.1,2023/6/9,124,T,84,6.1NRT,300.13,29.49,D
-12.26676,131.15733,326.81,1.22,1.1,2023/6/9,124,T,78,6.1NRT,300.93,21.95,D
-12.26829,131.16841,319.71,1.23,1.1,2023/6/9,124,T,23,6.1NRT,300.5,12.26,D
-12.26794,131.1506,328.52,1.22,1.1,2023/6/9,124,T,81,6.1NRT,301,24.62,D
-12.2694,131.16168,318.79,1.23,1.1,2023/6/9,124,T,25,6.1NRT,301.13,11.18,D
-12.31458,131.20087,355.58,1.23,1.1,2023/6/9,124,T,92,6.1NRT,300.45,89.92,D
-12.31607,131.21201,352.9,1.24,1.1,2023/6/9,124,T,91,6.1NRT,301.78,81.8,D
-12.3244,131.19952,323.71,1.23,1.1,2023/6/9,124,T,21,6.1NRT,298.12,15.46,D
-12.3259,131.21065,334.89,1.24,1.1,2023/6/9,124,T,84,6.1NRT,299.43,35.01,D
-12.32518,131.13155,314.96,1.22,1.1,2023/6/9,124,T,60,6.1NRT,300.21,7.65,D
-12.34253,131.18567,371.48,1.23,1.1,2023/6/9,124,T,100,6.1NRT,302.56,152.1,D
-12.34404,131.19681,380.45,1.23,1.1,2023/6/9,124,T,100,6.1NRT,304.43,198.06,D
-12.35387,131.19548,357.46,1.23,1.1,2023/6/9,124,T,98,6.1NRT,300.13,96.27,D
-12.67231,131.90135,318.91,1.38,1.16,2023/6/9,124,T,69,6.1NRT,300.1,13.19,D
-12.64894,131.02902,324.49,1.22,1.1,2023/6/9,124,T,76,6.1NRT,298.68,18.57,D
-12.65042,131.04004,316.77,1.22,1.1,2023/6/9,124,T,44,6.1NRT,298.86,8.5,D
-12.65871,131.02771,321.05,1.22,1.1,2023/6/9,124,T,48,6.1NRT,298.98,12.74,D
-12.66699,131.0154,358.48,1.22,1.1,2023/6/9,124,T,99,6.1NRT,300.02,96.59,D
-12.66848,131.02638,362.35,1.22,1.1,2023/6/9,124,T,100,6.1NRT,300.69,110.85,D
-12.8874,131.82243,322.09,1.37,1.16,2023/6/9,124,T,56,6.1NRT,300.62,14.22,D
-13.2861,133.87785,312.99,1.96,1.37,2023/6/9,124,T,53,6.1NRT,295.68,18.13,D
-13.28826,133.8958,311.02,1.96,1.37,2023/6/9,124,T,35,6.1NRT,295.18,14.03,D
-13.6386,134.11377,321.45,2.07,1.4,2023/6/9,124,T,74,6.1NRT,296.16,38.34,D
-13.64063,134.10799,323.14,2.07,1.4,2023/6/9,124,T,76,6.1NRT,296.04,41.44,D
-13.57087,132.5688,320.29,1.58,1.24,2023/6/9,124,T,71,6.1NRT,300.31,20.73,D
-13.61012,129.84496,328.08,1.09,1.04,2023/6/9,124,T,80,6.1NRT,288.53,25.98,D
-14.05521,131.96526,319.3,1.45,1.19,2023/6/9,124,T,65,6.1NRT,299.43,11.96,D
-14.08535,131.94801,317.28,1.45,1.19,2023/6/9,124,T,48,6.1NRT,298.96,10.11,D
-14.12669,131.25513,317.95,1.31,1.13,2023/6/9,124,T,54,6.1NRT,299.56,10.97,D
-14.532,126.65681,319.67,1.04,1.02,2023/6/9,126,T,69,6.1NRT,302.12,9.85,D
-14.54444,126.61644,320.63,1.04,1.02,2023/6/9,126,T,66,6.1NRT,301.44,9.88,D
-14.54585,126.62586,320.05,1.04,1.02,2023/6/9,126,T,69,6.1NRT,300.78,10.15,D
-14.55826,126.58504,320.04,1.04,1.02,2023/6/9,126,T,54,6.1NRT,300.9,9.73,D
-14.55967,126.59449,319.55,1.04,1.02,2023/6/9,126,T,21,6.1NRT,301.2,8.82,D
-14.65101,126.22416,317.09,1.06,1.03,2023/6/9,126,T,61,6.1NRT,302.28,7.29,D
-15.44181,131.34186,325.52,1.38,1.16,2023/6/9,126,T,78,6.1NRT,298.9,23.3,D
-15.11521,127.79197,314.85,1,1,2023/6/9,126,T,56,6.1NRT,301.04,4.85,D
-15.11653,127.80112,324.27,1,1,2023/6/9,126,T,75,6.1NRT,302.1,13.89,D
